order_id,date,city,book_title,genre,unit_price,quantity,discount_pct,total,channel,manager,rating
5275,2024-06-25,Харків,Sapiens,Наука,410,2,0,820,Телефон,Ірина,5
5386,2024-08-09,Одеса,Гордість і упередження,Романтика,240,2,0,480,Телефон,Ірина,5
5100,2024-02-21,Харків,Гордість і упередження,Романтика,240,1,15,204,Сайт,Ірина,5
5352,2024-08-18,Дніпро,Sapiens,Наука,410,1,0,410,Мобільний застосунок,Віктор,3
5032,2024-01-27,Київ,Шерлок Холмс,Детектив,250,1,20,200,Сайт,Олег,3
5137,2024-03-06,Харків,Маленький принц,Дитяча,160,2,0,320,Телефон,Олег,3
5022,2024-01-24,Київ,Лісова пісня,Поезія,150,2,0,300,Телефон,Олег,4
5139,2024-03-22,Київ,Лісова пісня,Поезія,150,3,10,405,Мобільний застосунок,Наталя,4
5104,2024-03-13,Харків,Квантова фізика,Наука,450,2,5,855,Мобільний застосунок,Софія,4
5184,2024-04-24,Львів,Кобзар,Поезія,180,1,0,180,Мобільний застосунок,Софія,4
5208,2024-05-13,Львів,Лісова пісня,Поезія,150,3,0,450,Телефон,Софія,4
5114,2024-03-21,Одеса,Квантова фізика,Наука,450,3,0,1350,Сайт,Софія,4
5215,2024-05-01,Харків,Сила звички,Бізнес,260,2,0,520,Телефон,Наталя,4
5320,2024-07-21,Харків,Sapiens,Наука,410,1,0,410,Мобільний застосунок,Ірина,3
5295,2024-06-12,Київ,Війна і мир,Історія,380,2,0,760,Телефон,Ірина,5
5325,2024-07-15,Одеса,Гордість і упередження,Романтика,240,1,0,240,Мобільний застосунок,Наталя,4
5102,2024-03-03,Київ,Шерлок Холмс,Детектив,250,3,0,750,Сайт,Олег,5
5342,2024-07-22,Дніпро,Тіні забутих предків,Історія,220,1,15,187,Телефон,Ірина,5
5269,2024-06-20,Одеса,Лісова пісня,Поезія,150,2,0,300,Телефон,Наталя,5
5395,2024-08-12,Харків,Sapiens,Наука,410,2,0,820,Мобільний застосунок,Софія,4
5165,2024-04-14,Харків,Дюна,Фантастика,320,5,10,1440,Телефон,Віктор,5
5194,2024-04-21,Одеса,1984,Фантастика,280,1,0,280,Телефон,Ірина,4
5025,2024-01-08,Одеса,Тіні забутих предків,Історія,220,4,0,880,Сайт,Софія,4
5024,2024-01-07,Харків,Лісова пісня,Поезія,150,2,0,300,Телефон,Наталя,5
5253,2024-06-27,Київ,Атомні звички,Бізнес,290,3,0,870,Сайт,Софія,5
5193,2024-04-19,Дніпро,Квантова фізика,Наука,450,2,0,900,Мобільний застосунок,Наталя,5
5175,2024-04-26,Дніпро,Шерлок Холмс,Детектив,250,3,0,750,Телефон,Софія,4
5307,2024-07-13,Дніпро,Тіні забутих предків,Історія,220,3,10,594,Сайт,Наталя,3
5077,2024-02-20,Харків,Сила звички,Бізнес,260,2,0,520,Телефон,Софія,4
5351,2024-08-06,Дніпро,Квантова фізика,Наука,450,1,0,450,Телефон,Софія,4
5282,2024-06-18,Дніпро,Війна і мир,Історія,380,2,0,760,Телефон,Наталя,4
5297,2024-06-20,Львів,Кладовище домашніх тварин,Детектив,270,4,0,1080,Мобільний застосунок,Олег,4
5303,2024-07-18,Одеса,Гордість і упередження,Романтика,240,1,0,240,Телефон,Ірина,4
5288,2024-06-10,Київ,1984,Фантастика,280,4,15,952,Мобільний застосунок,Софія,5
5158,2024-04-02,Львів,Кладовище домашніх тварин,Детектив,270,2,20,432,Сайт,Софія,5
5055,2024-02-09,Одеса,Атомні звички,Бізнес,290,4,0,1160,Сайт,Ірина,4
5016,2024-01-15,Дніпро,Маленький принц,Дитяча,160,1,0,160,Сайт,Ірина,4
5382,2024-08-02,Київ,1984,Фантастика,280,1,0,280,Мобільний застосунок,Олег,5
5291,2024-06-06,Одеса,Війна і мир,Історія,380,2,0,760,Мобільний застосунок,Софія,3
5101,2024-03-11,Київ,Маленький принц,Дитяча,160,1,0,160,Мобільний застосунок,Віктор,4
5252,2024-06-05,Дніпро,Кладовище домашніх тварин,Детектив,270,1,15,229.5,Телефон,Софія,4
5141,2024-03-19,Одеса,Сила звички,Бізнес,260,2,0,520,Телефон,Наталя,4
5130,2024-03-04,Харків,Гордість і упередження,Романтика,240,5,0,1200,Сайт,Софія,5
5346,2024-07-03,Дніпро,Дюна,Фантастика,320,1,0,320,Телефон,Віктор,4
5317,2024-07-26,Харків,Атомні звички,Бізнес,290,4,0,1160,Мобільний застосунок,Олег,4
5250,2024-05-17,Київ,Лісова пісня,Поезія,150,2,0,300,Мобільний застосунок,Олег,5
5373,2024-08-08,Львів,Атомні звички,Бізнес,290,2,15,493,Сайт,Віктор,5
5057,2024-02-23,Дніпро,Лісова пісня,Поезія,150,2,0,300,Телефон,Олег,4
5267,2024-06-13,Київ,Квантова фізика,Наука,450,1,0,450,Сайт,Олег,4
5060,2024-02-24,Дніпро,Sapiens,Наука,410,2,0,820,Телефон,Наталя,5
5164,2024-04-22,Харків,Дюна,Фантастика,320,2,10,576,Телефон,Ірина,4
5061,2024-02-10,Дніпро,Sapiens,Наука,410,2,0,820,Телефон,Наталя,4
5088,2024-02-23,Львів,Атомні звички,Бізнес,290,2,5,551,Телефон,Софія,4
5050,2024-01-28,Львів,Війна і мир,Історія,380,1,15,323,Мобільний застосунок,Ірина,4
5144,2024-03-25,Львів,Маленький принц,Дитяча,160,1,5,152,Телефон,Ірина,5
5125,2024-03-26,Київ,Квантова фізика,Наука,450,3,0,1350,Мобільний застосунок,Наталя,4
5081,2024-02-01,Львів,Квантова фізика,Наука,450,4,0,1800,Сайт,Софія,5
5122,2024-03-04,Львів,Сила звички,Бізнес,260,4,0,1040,Мобільний застосунок,Наталя,5
5277,2024-06-18,Одеса,Атомні звички,Бізнес,290,4,0,1160,Телефон,Наталя,4
5294,2024-06-25,Одеса,Дюна,Фантастика,320,1,0,320,Мобільний застосунок,Софія,4
5029,2024-01-14,Київ,Шерлок Холмс,Детектив,250,1,0,250,Телефон,Ірина,4
5091,2024-02-01,Одеса,Маленький принц,Дитяча,160,2,0,320,Сайт,Віктор,4
5293,2024-06-06,Харків,Атомні звички,Бізнес,290,1,0,290,Мобільний застосунок,Олег,5
5160,2024-04-28,Львів,Квантова фізика,Наука,450,4,0,1800,Телефон,Наталя,5
5214,2024-05-17,Харків,Шерлок Холмс,Детектив,250,3,0,750,Сайт,Олег,3
5087,2024-02-28,Харків,Шерлок Холмс,Детектив,250,2,0,500,Сайт,Віктор,4
5026,2024-01-03,Київ,Гордість і упередження,Романтика,240,1,0,240,Сайт,Ірина,5
5145,2024-03-26,Дніпро,Лісова пісня,Поезія,150,2,0,300,Мобільний застосунок,Олег,4
5305,2024-07-03,Харків,Війна і мир,Історія,380,1,20,304,Сайт,Наталя,5
5281,2024-06-03,Харків,Кобзар,Поезія,180,1,15,153,Телефон,Наталя,4
5153,2024-04-04,Дніпро,Дюна,Фантастика,320,1,0,320,Сайт,Віктор,4
5278,2024-06-09,Львів,Маленький принц,Дитяча,160,2,15,272,Мобільний застосунок,Наталя,5
5331,2024-07-18,Київ,Війна і мир,Історія,380,2,0,760,Телефон,Ірина,5
5115,2024-03-03,Харків,Sapiens,Наука,410,2,0,820,Мобільний застосунок,Наталя,4
5212,2024-05-07,Львів,Гордість і упередження,Романтика,240,1,0,240,Мобільний застосунок,Ірина,5
5344,2024-07-28,Дніпро,1984,Фантастика,280,2,0,560,Мобільний застосунок,Віктор,4
5283,2024-06-08,Дніпро,1984,Фантастика,280,1,0,280,Сайт,Олег,4
5394,2024-08-21,Харків,Тіні забутих предків,Історія,220,1,0,220,Сайт,Ірина,4
5390,2024-08-26,Одеса,1984,Фантастика,280,3,5,798,Телефон,Наталя,3
5056,2024-02-11,Дніпро,Маленький принц,Дитяча,160,1,0,160,Сайт,Віктор,4
5150,2024-03-09,Одеса,Тіні забутих предків,Історія,220,1,0,220,Сайт,Олег,5
5296,2024-06-17,Одеса,Тіні забутих предків,Історія,220,1,0,220,Телефон,Ірина,5
5076,2024-02-01,Харків,Тіні забутих предків,Історія,220,1,0,220,Телефон,Олег,4
5170,2024-04-12,Харків,Атомні звички,Бізнес,290,1,0,290,Сайт,Ірина,5
5132,2024-03-23,Київ,Квантова фізика,Наука,450,5,0,2250,Мобільний застосунок,Софія,4
5301,2024-07-28,Київ,Маленький принц,Дитяча,160,2,0,320,Телефон,Олег,4
5149,2024-03-26,Одеса,Сила звички,Бізнес,260,3,0,780,Телефон,Ірина,4
5065,2024-02-07,Харків,Тіні забутих предків,Історія,220,1,0,220,Мобільний застосунок,Віктор,5
5013,2024-01-05,Львів,Sapiens,Наука,410,4,0,1640,Телефон,Софія,4
5138,2024-03-15,Харків,Тіні забутих предків,Історія,220,4,0,880,Мобільний застосунок,Ірина,5
5011,2024-01-25,Київ,Гаррі Поттер,Дитяча,350,2,10,630,Мобільний застосунок,Віктор,3
5231,2024-05-06,Харків,Лісова пісня,Поезія,150,4,0,600,Мобільний застосунок,Софія,4
5400,2024-08-23,Одеса,Дюна,Фантастика,320,5,0,1600,Сайт,Наталя,5
5090,2024-02-03,Харків,Кобзар,Поезія,180,1,0,180,Сайт,Віктор,4
5355,2024-08-10,Київ,Шерлок Холмс,Детектив,250,1,0,250,Мобільний застосунок,Наталя,4
5219,2024-05-08,Київ,Гордість і упередження,Романтика,240,1,5,228,Сайт,Віктор,4
5126,2024-03-16,Харків,Сила звички,Бізнес,260,2,20,416,Телефон,Віктор,5
5006,2024-01-18,Харків,Кобзар,Поезія,180,3,0,540,Сайт,Софія,3
5151,2024-04-18,Дніпро,Тіні забутих предків,Історія,220,1,10,198,Сайт,Ірина,4
5230,2024-05-26,Харків,Сила звички,Бізнес,260,2,0,520,Телефон,Віктор,4
5092,2024-02-09,Одеса,Гаррі Поттер,Дитяча,350,1,0,350,Телефон,Ірина,5
5019,2024-01-27,Дніпро,Лісова пісня,Поезія,150,1,0,150,Сайт,Олег,5
5209,2024-05-02,Львів,Квантова фізика,Наука,450,4,0,1800,Мобільний застосунок,Софія,4
5181,2024-04-14,Дніпро,Кладовище домашніх тварин,Детектив,270,1,0,270,Сайт,Наталя,4
5054,2024-02-09,Дніпро,Кобзар,Поезія,180,3,15,459,Мобільний застосунок,Софія,4
5315,2024-07-08,Одеса,Лісова пісня,Поезія,150,1,0,150,Сайт,Софія,4
5202,2024-05-20,Одеса,Кобзар,Поезія,180,1,10,162,Сайт,Софія,5
5186,2024-04-28,Харків,Sapiens,Наука,410,1,15,348.5,Телефон,Віктор,4
5309,2024-07-14,Львів,Кобзар,Поезія,180,2,0,360,Сайт,Віктор,4
5376,2024-08-11,Київ,Квантова фізика,Наука,450,3,0,1350,Мобільний застосунок,Віктор,4
5174,2024-04-08,Одеса,Гордість і упередження,Романтика,240,1,0,240,Телефон,Наталя,5
5224,2024-05-24,Київ,Кладовище домашніх тварин,Детектив,270,1,0,270,Мобільний застосунок,Олег,3
5109,2024-03-05,Львів,Sapiens,Наука,410,1,0,410,Сайт,Ірина,5
5380,2024-08-19,Львів,Гордість і упередження,Романтика,240,1,0,240,Мобільний застосунок,Софія,4
5339,2024-07-02,Харків,Кладовище домашніх тварин,Детектив,270,5,0,1350,Мобільний застосунок,Софія,3
5098,2024-02-17,Київ,Кобзар,Поезія,180,2,20,288,Сайт,Наталя,5
5229,2024-05-25,Одеса,Сила звички,Бізнес,260,2,0,520,Мобільний застосунок,Ірина,5
5235,2024-05-02,Харків,Кобзар,Поезія,180,2,5,342,Мобільний застосунок,Софія,3
5241,2024-05-16,Львів,Гаррі Поттер,Дитяча,350,5,0,1750,Сайт,Віктор,4
5113,2024-03-01,Одеса,Кладовище домашніх тварин,Детектив,270,3,0,810,Телефон,Ірина,5
5225,2024-05-19,Одеса,Війна і мир,Історія,380,2,0,760,Сайт,Ірина,5
5167,2024-04-20,Харків,Гордість і упередження,Романтика,240,2,0,480,Телефон,Софія,4
5389,2024-08-28,Харків,Квантова фізика,Наука,450,3,0,1350,Сайт,Софія,5
5234,2024-05-02,Одеса,1984,Фантастика,280,2,0,560,Телефон,Віктор,5
5343,2024-07-07,Харків,1984,Фантастика,280,4,0,1120,Сайт,Наталя,5
5222,2024-05-22,Дніпро,Атомні звички,Бізнес,290,1,0,290,Мобільний застосунок,Ірина,5
5178,2024-04-21,Київ,Кладовище домашніх тварин,Детектив,270,1,0,270,Телефон,Софія,5
5306,2024-07-21,Харків,Sapiens,Наука,410,1,0,410,Мобільний застосунок,Віктор,5
5002,2024-01-03,Дніпро,Шерлок Холмс,Детектив,250,2,0,500,Телефон,Ірина,4
5172,2024-04-22,Одеса,Маленький принц,Дитяча,160,4,0,640,Телефон,Віктор,3
5136,2024-03-12,Львів,Атомні звички,Бізнес,290,3,0,870,Телефон,Віктор,4
5051,2024-02-14,Львів,1984,Фантастика,280,3,0,840,Мобільний застосунок,Олег,5
5319,2024-07-14,Дніпро,Квантова фізика,Наука,450,2,0,900,Телефон,Олег,5
5140,2024-03-23,Одеса,Маленький принц,Дитяча,160,1,15,136,Сайт,Віктор,4
5119,2024-03-16,Київ,Гаррі Поттер,Дитяча,350,2,0,700,Сайт,Наталя,5
5177,2024-04-11,Львів,Кобзар,Поезія,180,2,0,360,Сайт,Софія,4
5334,2024-07-20,Харків,Дюна,Фантастика,320,2,0,640,Сайт,Ірина,5
5075,2024-02-18,Дніпро,Сила звички,Бізнес,260,4,5,988,Телефон,Олег,5
5328,2024-07-14,Львів,Гордість і упередження,Романтика,240,4,0,960,Мобільний застосунок,Олег,4
5353,2024-08-03,Дніпро,Дюна,Фантастика,320,1,0,320,Сайт,Софія,5
5370,2024-08-16,Київ,Атомні звички,Бізнес,290,2,0,580,Мобільний застосунок,Віктор,4
5350,2024-07-03,Одеса,Війна і мир,Історія,380,1,0,380,Мобільний застосунок,Наталя,3
5236,2024-05-01,Дніпро,Квантова фізика,Наука,450,3,0,1350,Телефон,Віктор,3
5247,2024-05-15,Дніпро,1984,Фантастика,280,5,0,1400,Мобільний застосунок,Олег,4
5084,2024-02-22,Харків,Маленький принц,Дитяча,160,1,0,160,Мобільний застосунок,Олег,5
5239,2024-05-09,Київ,Гордість і упередження,Романтика,240,1,0,240,Сайт,Олег,4
5073,2024-02-07,Харків,Атомні звички,Бізнес,290,2,0,580,Телефон,Ірина,5
5385,2024-08-06,Дніпро,Дюна,Фантастика,320,1,0,320,Телефон,Віктор,5
5018,2024-01-24,Дніпро,1984,Фантастика,280,2,15,476,Сайт,Софія,4
5103,2024-03-08,Харків,Квантова фізика,Наука,450,2,0,900,Телефон,Софія,3
5366,2024-08-20,Харків,Кладовище домашніх тварин,Детектив,270,2,0,540,Мобільний застосунок,Віктор,3
5223,2024-05-17,Харків,Гордість і упередження,Романтика,240,2,5,456,Мобільний застосунок,Ірина,5
5166,2024-04-05,Одеса,Шерлок Холмс,Детектив,250,4,0,1000,Телефон,Софія,3
5238,2024-05-12,Київ,Маленький принц,Дитяча,160,1,0,160,Телефон,Олег,4
5310,2024-07-24,Київ,Атомні звички,Бізнес,290,1,0,290,Телефон,Віктор,5
5397,2024-08-07,Львів,Сила звички,Бізнес,260,1,0,260,Мобільний застосунок,Наталя,5
5221,2024-05-23,Харків,Дюна,Фантастика,320,2,0,640,Сайт,Софія,3
5251,2024-06-21,Дніпро,Кладовище домашніх тварин,Детектив,270,4,0,1080,Сайт,Софія,4
5335,2024-07-17,Дніпро,Гордість і упередження,Романтика,240,2,0,480,Мобільний застосунок,Ірина,5
5210,2024-05-08,Одеса,Кобзар,Поезія,180,3,5,513,Мобільний застосунок,Олег,4
5205,2024-05-12,Одеса,Шерлок Холмс,Детектив,250,2,0,500,Сайт,Олег,3
5082,2024-02-04,Львів,1984,Фантастика,280,1,0,280,Мобільний застосунок,Наталя,5
5107,2024-03-02,Одеса,Тіні забутих предків,Історія,220,2,0,440,Телефон,Віктор,4
5326,2024-07-04,Харків,Атомні звички,Бізнес,290,2,0,580,Мобільний застосунок,Олег,5
5083,2024-02-24,Львів,Квантова фізика,Наука,450,1,0,450,Мобільний застосунок,Ірина,5
5298,2024-06-14,Харків,Тіні забутих предків,Історія,220,3,0,660,Телефон,Олег,5
5108,2024-03-26,Дніпро,Шерлок Холмс,Детектив,250,2,15,425,Телефон,Олег,5
5259,2024-06-13,Харків,Гаррі Поттер,Дитяча,350,1,0,350,Сайт,Олег,5
5318,2024-07-16,Львів,Кобзар,Поезія,180,1,5,171,Мобільний застосунок,Олег,4
5010,2024-01-08,Харків,Маленький принц,Дитяча,160,2,0,320,Мобільний застосунок,Софія,4
5367,2024-08-17,Дніпро,Шерлок Холмс,Детектив,250,1,0,250,Телефон,Софія,5
5039,2024-01-23,Одеса,Атомні звички,Бізнес,290,4,0,1160,Мобільний застосунок,Олег,4
5099,2024-02-23,Одеса,Гаррі Поттер,Дитяча,350,1,0,350,Сайт,Ірина,4
5094,2024-02-01,Львів,Кладовище домашніх тварин,Детектив,270,2,0,540,Мобільний застосунок,Олег,3
5121,2024-03-18,Харків,Квантова фізика,Наука,450,1,0,450,Сайт,Олег,3
5255,2024-06-08,Харків,Кобзар,Поезія,180,2,0,360,Мобільний застосунок,Віктор,5
5248,2024-05-19,Львів,Лісова пісня,Поезія,150,3,0,450,Мобільний застосунок,Софія,4
5232,2024-05-03,Львів,Кобзар,Поезія,180,3,0,540,Телефон,Наталя,4
5012,2024-01-19,Одеса,Кобзар,Поезія,180,1,10,162,Сайт,Віктор,5
5379,2024-08-08,Львів,Шерлок Холмс,Детектив,250,2,0,500,Мобільний застосунок,Олег,4
5195,2024-04-15,Одеса,Атомні звички,Бізнес,290,2,0,580,Мобільний застосунок,Ірина,3
5059,2024-02-13,Дніпро,Гордість і упередження,Романтика,240,1,0,240,Сайт,Олег,5
5244,2024-05-05,Харків,Гаррі Поттер,Дитяча,350,1,0,350,Сайт,Наталя,4
5173,2024-04-10,Одеса,Сила звички,Бізнес,260,4,0,1040,Сайт,Софія,5
5273,2024-06-24,Харків,Маленький принц,Дитяча,160,2,0,320,Сайт,Олег,5
5391,2024-08-23,Дніпро,Маленький принц,Дитяча,160,2,0,320,Мобільний застосунок,Софія,4
5066,2024-02-25,Київ,Гаррі Поттер,Дитяча,350,1,0,350,Мобільний застосунок,Олег,5
5263,2024-06-14,Одеса,Кобзар,Поезія,180,2,10,324,Телефон,Наталя,3
5095,2024-02-18,Харків,Кобзар,Поезія,180,2,0,360,Телефон,Софія,4
5218,2024-05-01,Львів,Тіні забутих предків,Історія,220,2,10,396,Телефон,Софія,4
5311,2024-07-01,Київ,Маленький принц,Дитяча,160,3,10,432,Сайт,Софія,4
5324,2024-07-08,Львів,Війна і мир,Історія,380,5,0,1900,Мобільний застосунок,Олег,5
5240,2024-05-04,Одеса,Тіні забутих предків,Історія,220,2,10,396,Телефон,Віктор,4
5093,2024-02-24,Дніпро,Гордість і упередження,Романтика,240,4,0,960,Сайт,Віктор,4
5131,2024-03-14,Львів,Лісова пісня,Поезія,150,2,0,300,Сайт,Віктор,5
5243,2024-05-10,Львів,Війна і мир,Історія,380,1,0,380,Мобільний застосунок,Софія,5
5338,2024-07-19,Львів,Шерлок Холмс,Детектив,250,1,0,250,Мобільний застосунок,Ірина,4
5020,2024-01-25,Київ,Атомні звички,Бізнес,290,3,0,870,Телефон,Наталя,5
5354,2024-08-05,Одеса,Гордість і упередження,Романтика,240,1,0,240,Мобільний застосунок,Олег,4
